Device: cuda

  [A-head] epoch 9/12 lr=1.0e-03 train_loss=0.7224 train_acc=0.647 val_loss=0.7794 val_acc=0.569 val_macroF1=0.587 val_cancerRecall=0.414 (14.3s)
  [A-head] epoch 10/12 lr=1.0e-03 train_loss=0.7130 train_acc=0.631 val_loss=0.7502 val_acc=0.606 val_macroF1=0.612 val_cancerRecall=0.486 (14.3s)
  [A-head] epoch 11/12 lr=1.0e-03 train_loss=0.7120 train_acc=0.665 val_loss=0.7720 val_acc=0.579 val_macroF1=0.590 val_cancerRecall=0.405 (14.4s)
  [A-head] epoch 12/12 lr=1.0e-03 train_loss=0.7329 train_acc=0.635 val_loss=0.7491 val_acc=0.611 val_macroF1=0.616 val_cancerRecall=0.477 (14.3s)
  [A-head] early stopping at epoch 12 (no val macro-F1 improvement for 6 epochs)
  [B-finetune] epoch 1/25 lr=1.0e-05 train_loss=0.6938 train_acc=0.657 val_loss=0.7506 val_acc=0.606 val_macroF1=0.608 val_cancerRecall=0.459 (14.3s)
  [B-finetune] epoch 2/25 lr=1.0e-05 train_loss=0.6942 train_acc=0.646 val_loss=0.7539 val_acc=0.620 val_macroF1=0.615 val_cancerRecall=0.486 (14.3s)
  [B-finetune] epoch 3/25 lr=1.0e-05 train_loss=0.6863 train_acc=0.662 val_loss=0.7443 val_acc=0.616 val_macroF1=0.619 val_cancerRecall=0.468 (14.4s)
  [B-finetune] epoch 4/25 lr=1.0e-05 train_loss=0.6845 train_acc=0.672 val_loss=0.7361 val_acc=0.602 val_macroF1=0.609 val_cancerRecall=0.459 (14.3s)
  [B-finetune] epoch 5/25 lr=1.0e-05 train_loss=0.6548 train_acc=0.695 val_loss=0.7590 val_acc=0.593 val_macroF1=0.593 val_cancerRecall=0.441 (14.3s)
  [B-finetune] epoch 6/25 lr=1.0e-05 train_loss=0.6586 train_acc=0.698 val_loss=0.7040 val_acc=0.671 val_macroF1=0.664 val_cancerRecall=0.613 (14.4s)
  [B-finetune] epoch 7/25 lr=1.0e-05 train_loss=0.6630 train_acc=0.684 val_loss=0.7190 val_acc=0.616 val_macroF1=0.600 val_cancerRecall=0.541 (14.3s)
  [B-finetune] epoch 8/25 lr=1.0e-05 train_loss=0.6724 train_acc=0.682 val_loss=0.7188 val_acc=0.648 val_macroF1=0.631 val_cancerRecall=0.586 (14.3s)
  [B-finetune] epoch 9/25 lr=1.0e-05 train_loss=0.6601 train_acc=0.679 val_loss=0.7326 val_acc=0.616 val_macroF1=0.612 val_cancerRecall=0.495 (14.3s)
  [B-finetune] epoch 10/25 lr=5.0e-06 train_loss=0.6607 train_acc=0.683 val_loss=0.7161 val_acc=0.653 val_macroF1=0.633 val_cancerRecall=0.604 (14.3s)
